
(datetime.date(2015, 1, 5), 'Recalculated', 1L, 20288L, None, 33.36, 147940.0, 4935280.0, None, None, None, None, 0.968922, None, None)
(datetime.date(2015, 1, 5), 'Recalculated', 1L, 20289L, None, 8.025, 105375.0, 845636.0, None, None, None, None, 0.988909, None, None)
(datetime.date(2015, 1, 5), 'Recalculated', 1L, 20290L, None, 17.39, 17105.6, 297466.0, None, None, None, None, 0.965039, None, None)
(datetime.date(2015, 1, 5), 'Recalculated', 1L, 20294L, None, 2.172, 2254200.0, 4896120.0, None, None, None, None, 0.969643, None, None)
(datetime.date(2015, 1, 5), 'Recalculated', 1L, 20297L, None, 0.4825, 1785770.0, 861636.0, None, None, None, None, 1.00229, None, None)
(datetime.date(2015, 1, 5), 'Recalculated', 1L, 20298L, None, 9.855, 22753.9, 224239.0, None, None, None, None, 0.956796, None, None)
(datetime.date(2015, 1, 5), 'Recalculated', 1L, 20300L, None, 10.84, 28077.0, 304354.0, None, None, None, None, 0.97307, None, None)
(datetime.date(2015, 1, 5), 'Recalculated', 1L, 20301L, None, 5.305, 41885.4, 222202.0, None, None, None, None, 0.950717, None, None)
(datetime.date(2015, 1, 5), 'Recalculated', 1L, 20302L, None, 1.673, 121008.0, 202447.0, None, None, None, None, 0.960942, None, None)
(datetime.date(2015, 1, 5), 'Recalculated', 1L, 20303L, None, 20.0, 246736.0, 4934720.0, None, None, None, None, 0.984252, None, None)
(datetime.date(2015, 1, 5), 'Recalculated', 1L, 20304L, None, 6.245, 751624.0, 4693890.0, None, None, None, None, 0.948367, None, None)
(datetime.date(2015, 1, 5), 'Recalculated', 1L, 20305L, None, 9.465, 524571.0, 4965070.0, None, None, None, None, 0.978295, None, None)
