20140,IT0001353157,Istituto Finanziario Industri
20142,IT0003745889,Immobiliare Grande Distribuzi
20143,IT0001244026,I Grandi Viaggi SpA
20144,IT0001049623,Industria Macchine Automatich
20145,IT0001413837,IMMSI SpA
20146,IT0000076197,Indesit Co SpA
20148,IT0001078911,Interpump Group SpA
20149,IT0003865570,Impregilo SpA
20151,IT0001354155,IPI SpA
20152,IT0001077780,Irce SpA
20153,IT0003027817,Iride SpA
20154,IT0001069902,Isagro SpA
20155,IT0000072618,Intesa Sanpaolo SpA
20157,IT0001465159,Italcementi SpA
20158,IT0001165049,IT Holding SpA
20159,IT0000076791,Intek SpA
20161,IT0000074598,Italmobiliare SpA
20164,IT0003057624,IT Way SpA
20165,IT0000336518,Juventus Football Club SpA
20166,IT0004247273,KME Group SpA
20168,IT0004441603,Kinexia SpA
20169,IT0001356887,KR Energy SpA
20170,IT0001467072,Lavorwash SpA
20171,IT0001055521,La Doria SpA
20172,IT0004370463,Retelit SpA
20173,IT0004210289,Landi Renzo SpA
20174,IT0003990402,Lottomatica SpA
20175,IT0001479374,Luxottica Group SpA
20176,IT0003428445,MARR SpA
20177,IT0000062957,Mediobanca SpA
20178,IT0001403739,Mariella Burani SpA
20179,IT0001210902,Mediacontech SpA
20180,IT0001129847,Marcolin SpA
20181,IT0000068889,Mediterranea delle Acque SpA
20182,IT0003955009,Management & Capitali SpA
20183,IT0001279501,Mediolanum SpA
20184,IT0001346268,Meliorbanca SpA
20185,IT0003111462,Montefibre SpA
20187,IT0000062221,Milano Assicurazioni SPA
20188,IT0004166762,Mid Industry Capital
20189,IT0000062205,Milano Assicurazioni SPA
20190,IT0001447348,Mittel SpA
20191,IT0001080248,Molecular Medicine SPA
20192,IT0001469383,Arnoldo Mondadori Editore SpA
20193,IT0004195308,Gruppo MutuiOnline SpA
20194,IT0000066016,Monrif SpA
20195,IT0001080925,Mirato SpA
20196,IT0001063210,Mediaset SpA
20197,IT0004251689,Maire Tecnimont SpA
20198,IT0001447785,Mondo TV SpA
20199,IT0003138671,Negri Bossi SpA
20200,IT0003317945,Nice SpA
20201,IT0001350625,Olidata SpA
20202,IT0004103294,Omnia Network SpA
20203,IT0001467577,Panariagroup Industrie Cerami
20204,IT0000072725,Pirelli & C SpA
20206,IT0004919327,Banca Popolare dell'Etruria e
20207,IT0001475109,Premafin Finanziaria SpA
20208,IT0004114846,Poltrona Frau SpA
20209,IT0004458094,Seat Pagine Gialle SpA
20211,IT0003073266,Piaggio & C SpA
20212,IT0003056386,Pininfarina SpA
20213,IT0003826473,Parmalat SpA
20214,IT0000064482,Banca Popolare di Milano Scar
20215,IT0001341111,Permasteelisa SpA
20216,IT0000086923,Poligrafici Editoriale SpA
20217,IT0003676282,Premuda SpA
20218,IT0003124663,Prima Industrie SpA
20219,IT0001073045,Banca Profilo SpA
20220,IT0003270615,Pirelli & C Real Estate SpA
20221,IT0003850929,Esprinet SpA
20222,IT0004176001,Prysmian SpA
20223,IT0001352217,Poligrafica San Faustino SpA
20224,IT0001343695,Ratti SpA
20225,IT0003039010,RCS MediaGroup SpA
20227,IT0000795549,RDB SpA
20228,IT0003828271,Recordati SpA
20229,IT0001499679,Reply SpA
20230,IT0001280947,Richard-Ginori 1735 SpA
20231,IT0003690283,Gruppo Ceramiche Ricchetti
20232,IT0001178299,Reno de Medici SpA
20233,IT0001402269,Risanamento SpA
20234,IT0004269723,Il Sole 24 Ore
20235,IT0001042610,Sabaf SpA
20236,IT0000214293,Societa Aeroporto Toscano Gal
20237,IT0001490736,SAVE SpA
20238,IT0003270904,Socotherm SpA
20239,IT0003430813,Safilo Group SpA
20240,IT0001029492,SAES Getters SpA
